sample,partition,method,metric,value
BDNF-64,1,FEL,significant_sites_FDR_0.10,0.0
BDNF-64,2,FEL,significant_sites_FDR_0.10,4.0
BDNF-64,3,FEL,significant_sites_FDR_0.10,0.0
BDNF-64,4,FEL,significant_sites_FDR_0.10,14.0
BDNF-64,5,FEL,significant_sites_FDR_0.10,23.0
BDNF-64,1,MEME,significant_sites_FDR_0.10,0.0
BDNF-64,2,MEME,significant_sites_FDR_0.10,0.0
BDNF-64,3,MEME,significant_sites_FDR_0.10,0.0
BDNF-64,4,MEME,significant_sites_FDR_0.10,0.0
BDNF-64,5,MEME,significant_sites_FDR_0.10,0.0
BDNF-64,1,ABSREL,significant_branches,0.0
BDNF-64,1,BUSTEDS-MH,gene_wide_pvalue,0.3048147612793555
BDNF-64,1,RELAX,k,0.0
BDNF-64,1,RELAX,pvalue,0.2491006912770883
BDNF-64,1,CFEL,significant_sites_p_0.10,9.0
BDNF-64,2,ABSREL,significant_branches,0.0
BDNF-64,2,BUSTEDS-MH,gene_wide_pvalue,0.01136288956993742
BDNF-64,2,RELAX,k,0.0611244285926736
BDNF-64,2,RELAX,pvalue,0.1811483217730657
BDNF-64,2,CFEL,significant_sites_p_0.10,6.0
BDNF-64,3,ABSREL,significant_branches,0.0
BDNF-64,3,BUSTEDS-MH,gene_wide_pvalue,0.5
BDNF-64,3,RELAX,k,0.495629675793559
BDNF-64,3,RELAX,pvalue,0.1968007381811588
BDNF-64,3,CFEL,significant_sites_p_0.10,0.0
BDNF-64,4,ABSREL,significant_branches,0.0
BDNF-64,4,BUSTEDS-MH,gene_wide_pvalue,0.1045135303989504
BDNF-64,4,RELAX,k,1.009287820974015
BDNF-64,4,RELAX,pvalue,0.9512571114214105
BDNF-64,4,CFEL,significant_sites_p_0.10,7.0
BDNF-64,5,ABSREL,significant_branches,0.0
BDNF-64,5,BUSTEDS-MH,gene_wide_pvalue,0.1092896538698253
BDNF-64,5,RELAX,k,0.9964826470444502
BDNF-64,5,RELAX,pvalue,0.979531528833666
BDNF-64,5,CFEL,significant_sites_p_0.10,2.0
