
Analysis Description
--------------------
aBSREL (Adaptive branch-site random effects likelihood) uses an adaptive
random effects branch-site model framework to test whether each branch
has evolved under positive selection, using a procedure which infers an
optimal number of rate categories per branch. v2.2 adds support for
multiple-hit models. v2.3 adds support for SRV. v2.5 adds support for
ancestral state reconstruction, identification of sites contributing to
selection signal, and some diagnostics. 

- __Requirements__: in-frame codon alignment and a phylogenetic tree

- __Citation__:  Less Is More: An Adaptive Branch-Site Random Effects Model for
Efficient Detection of Episodic Diversifying Selection (2015). Mol Biol
Evol 32 (5): 1342-1353. 

- __Written by__: Sergei L Kosakovsky Pond, Ben Murrell, Steven Weaver and Temple iGEM /
UCSD viral evolution group

- __Contact Information__: spond@temple.edu

- __Analysis Version__: 2.5

[Advanced option] Bag of little bootstrap alignment resampling rate (permissible range = [0.01,1], default value = 1): blb: 1

>code => Universal

-------
>[WARNING]
'/Users/alex/Documents/AOC/results/BDNF-64/gard/segments/BDNF-64.part4.codon.fas'
contains 9 duplicate sequences. Identical sequences do not contribute
any information to the analysis and only slow down computation. Please
consider removing duplicate or 'nearly' duplicate sequences, e.g. using
https://github.com/veg/hyphy-analyses/tree/master/remove-duplicates
prior to running selection analyses
-------
/Users/alex/Documents/AOC/results/BDNF-64/selection/part4/FastTree.labelled.treefile
results/BDNF-64/selection/part4/FastTree.labelled.treefile

>Loaded a multiple sequence alignment with **60** sequences, **104** codons, and **1** partitions from `/Users/alex/Documents/AOC/results/BDNF-64/gard/segments/BDNF-64.part4.codon.fas`

>branches => Test

>multiple-hits => None

>srv => No


### * Selected 22 branches for testing: `XM_038429434_1_PREDICTED_Canis_lupus_familiaris_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, XM_005216334_4_PREDICTED_Bos_taurus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, XM_012096129_4_PREDICTED_Ovis_aries_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA, XM_005654684_3_PREDICTED_Sus_scrofa_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, XM_029555090_1_PREDICTED_Nannospalax_galili_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA, NM_001048142_1_Mus_musculus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_4_mRNA, NM_001270630_1_Rattus_norvegicus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_1_mRNA, XM_007653166_4_PREDICTED_Cricetulus_griseus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA, XM_007497196_2_PREDICTED_Monodelphis_domestica_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, XM_031944159_1_PREDICTED_Sarcophilus_harrisii_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, XM_036763631_1_PREDICTED_Trichosurus_vulpecula_brain_derived_neurotrophic_factor_BDNF_mRNA, XM_020977976_1_PREDICTED_Phascolarctos_cinereus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, XM_015114598_2_PREDICTED_Macaca_mulatta_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, NM_001709_5_Homo_sapiens_brain_derived_neurotrophic_factor_BDNF_transcript_variant_4_mRNA, XM_009007854_3_PREDICTED_Callithrix_jacchus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA, NM_001012441_1_Pan_troglodytes_brain_derived_neurotrophic_factor_BDNF_mRNA, Node77, Node75, Node73, NM_001009828_1_Felis_catus_brain_derived_neurotrophic_factor_BDNF_mRNA, XM_011226480_3_PREDICTED_Ailuropoda_melanoleuca_brain_derived_neurotrophic_factor_BDNF_mRNA, NM_001081787_1_Equus_caballus_brain_derived_neurotrophic_factor_BDNF_mRNA`


### Obtaining branch lengths and nucleotide substitution biases under the nucleotide GTR model

>kill-zero-lengths => Yes

### Deleted 7 zero-length internal branches: `Node100, Node109, Node2, Node25, Node43, Node89, Node99`
* Log(L) = -2652.86, AIC-c =  5547.28 (120 estimated parameters)
* 1 partition. Total tree length by partition (subs/site)  1.643

### Fitting the baseline model with a single dN/dS class per branch, and no site-to-site variation. 
* Log(L) = -2392.32, AIC-c =  5249.40 (224 estimated parameters)
* Branch-level non-synonymous/synonymous rate ratio distribution has median  0.20, and 95% of the weight in  0.06 - 10000000000.00

### Determining the optimal number of rate classes per branch using a step up procedure

|              Branch               |  Length  |  Rates   |     Max. dN/dS     |    Log(L)     |     AIC-c     |Best AIC-c so far|
|-----------------------------------|----------|----------|--------------------|---------------|---------------|-----------------|
|              Node52               |   0.18   |    2     |    0.08 (76.05%)   |   -2392.32    |    5253.71    |     5249.40     |
|              Node63               |   0.13   |    2     |    1.50 ( 7.69%)   |   -2391.03    |    5251.12    |     5249.40     |
|XM_033764060_1_PREDICTED_Fukomys...|   0.10   |    2     |    0.93 (25.58%)   |   -2391.66    |    5252.39    |     5249.40     |
|XM_031944159_1_PREDICTED_Sarcoph...|   0.07   |    2     |   0.08 (100.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_004660846_2_PREDICTED_Jaculus...|   0.06   |    2     |    0.27 (76.61%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_013019592_1_PREDICTED_Dipodom...|   0.06   |    2     |   0.19 (100.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|               Node4               |   0.05   |    2     |    0.24 (51.14%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_004851581_3_PREDICTED_Heteroc...|   0.05   |    2     |   0.14 (100.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|NM_001081787_1_Equus_caballus_br...|   0.05   |    2     |    0.35 (26.18%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_020977976_1_PREDICTED_Phascol...|   0.05   |    2     |    0.11 (21.30%)   |   -2392.32    |    5253.71    |     5249.40     |
|              Node21               |   0.05   |    2     |    0.23 ( 0.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_004644113_2_PREDICTED_Octodon...|   0.05   |    2     |   0.14 (100.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|              Node54               |   0.03   |    2     |   0.16 (100.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_036763631_1_PREDICTED_Trichos...|   0.03   |    2     |    0.00 ( 5.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_013147262_2_PREDICTED_Cavia_p...|   0.03   |    2     |   >1000 ( 1.15%)   |   -2391.59    |    5252.25    |     5249.40     |
|              Node56               |   0.03   |    2     |    0.12 (54.66%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_007653166_4_PREDICTED_Cricetu...|   0.03   |    2     |    7.20 ( 6.02%)   |   -2391.92    |    5252.90    |     5249.40     |
|              Node16               |   0.03   |    2     |    0.06 (52.86%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_005654684_3_PREDICTED_Sus_scr...|   0.03   |    2     |   12.50 ( 1.76%)   |   -2391.77    |    5252.61    |     5249.40     |
|              Node65               |   0.03   |    2     |    0.00 ( 5.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|              Node36               |   0.02   |    2     |    0.46 ( 0.10%)   |   -2392.32    |    5253.71    |     5249.40     |
|              Node61               |   0.02   |    2     |    9.03 ( 1.76%)   |   -2392.29    |    5253.65    |     5249.40     |
|XM_029555090_1_PREDICTED_Nannosp...|   0.02   |    2     |    0.18 (49.56%)   |   -2392.32    |    5253.71    |     5249.40     |
|XM_009007854_3_PREDICTED_Callith...|   0.02   |    2     |    0.25 (51.68%)   |   -2392.32    |    5253.71    |     5249.40     |
|              Node15               |   0.02   |    2     |    0.00 ( 0.00%)   |   -2392.32    |    5253.71    |     5249.40     |
|              Node34               |   0.02   |    2     |   47.74 ( 1.65%)   |   -2389.62    |    5248.30    |     5248.30     |
|              Node34               |   0.02   |    3     |   50.35 ( 1.53%)   |   -2389.68    |    5252.73    |     5248.30     |
|              Node87               |   0.02   |    2     |    0.39 (75.63%)   |   -2389.62    |    5252.62    |     5248.30     |
|XM_035012477_1_PREDICTED_Miroung...|   0.02   |    2     |    0.11 (84.71%)   |   -2389.62    |    5252.61    |     5248.30     |
|XM_020177315_1_PREDICTED_Castor_...|   0.02   |    2     |    0.12 (15.95%)   |   -2389.62    |    5252.61    |     5248.30     |
|              Node53               |   0.02   |    2     |    0.20 (51.11%)   |   -2389.62    |    5252.62    |     5248.30     |
|              Node73               |   0.02   |    2     |    0.00 ( 0.00%)   |   -2389.62    |    5252.61    |     5248.30     |
|              Node92               |   0.02   |    2     |    0.00 ( 5.00%)   |   -2389.62    |    5252.61    |     5248.30     |
|XM_020903256_1_PREDICTED_Odocoil...|   0.02   |    2     |    0.00 ( 0.00%)   |   -2389.62    |    5252.61    |     5248.30     |
|XM_027852578_1_PREDICTED_Vombatu...|   0.02   |    2     |    0.00 ( 0.00%)   |   -2389.62    |    5252.61    |     5248.30     |
|              Node69               |   0.01   |    2     |    0.48 (51.58%)   |   -2389.62    |    5252.61    |     5248.30     |
