Sample,Partition,Branch,Corrected P-value,Raw P-value,Rate classes,omega_max,significant_branch_0.10,status
BDNF-64,1,NM_001009828_1_Felis_catus_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001012441_1_Pan_troglodytes_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001048142_1_Mus_musculus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_4_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001081787_1_Equus_caballus_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001270630_1_Rattus_norvegicus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_1_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001709_5_Homo_sapiens_brain_derived_neurotrophic_factor_BDNF_transcript_variant_4_mRNA,1.0,,0,,0,ok
BDNF-64,1,Node10,9.825164961618782e-07,,0,,1,ok
BDNF-64,1,Node100,1.0,,0,,0,ok
BDNF-64,1,Node101,1.0,,0,,0,ok
BDNF-64,1,Node102,1.0,,0,,0,ok
BDNF-64,1,Node108,1.0,,0,,0,ok
BDNF-64,1,Node109,1.0,,0,,0,ok
BDNF-64,1,Node11,1.0,,0,,0,ok
BDNF-64,1,Node111,0.0002408548534307831,,0,,1,ok
BDNF-64,1,Node112,1.0,,0,,0,ok
BDNF-64,1,Node12,1.0,,0,,0,ok
BDNF-64,1,Node14,1.0,,0,,0,ok
BDNF-64,1,Node2,1.0,,0,,0,ok
BDNF-64,1,Node23,1.0,,0,,0,ok
BDNF-64,1,Node24,1.0,,0,,0,ok
BDNF-64,1,Node27,1.0,,0,,0,ok
BDNF-64,1,Node29,1.0,,0,,0,ok
BDNF-64,1,Node32,1.0,,0,,0,ok
BDNF-64,1,Node34,1.0,,0,,0,ok
BDNF-64,1,Node37,0.0,,0,,1,ok
BDNF-64,1,Node38,1.0,,0,,0,ok
BDNF-64,1,Node39,1.0,,0,,0,ok
BDNF-64,1,Node4,8.089483500861583e-05,,0,,1,ok
BDNF-64,1,Node40,0.5982700284910966,,0,,0,ok
BDNF-64,1,Node41,1.0,,0,,0,ok
BDNF-64,1,Node42,1.0,,0,,0,ok
BDNF-64,1,Node46,1.0,,0,,0,ok
BDNF-64,1,Node5,0.1119753638252452,,0,,0,ok
BDNF-64,1,Node50,1.0,,0,,0,ok
BDNF-64,1,Node51,1.0,,0,,0,ok
BDNF-64,1,Node53,1.0,,0,,0,ok
BDNF-64,1,Node57,1.0,,0,,0,ok
BDNF-64,1,Node6,1.0,,0,,0,ok
BDNF-64,1,Node61,1.0,,0,,0,ok
BDNF-64,1,Node62,0.00188209610453427,,0,,1,ok
BDNF-64,1,Node63,1.0,,0,,0,ok
BDNF-64,1,Node64,1.0,,0,,0,ok
BDNF-64,1,Node65,0.0001870375572674554,,0,,1,ok
BDNF-64,1,Node66,6.031108945592223e-11,,0,,1,ok
BDNF-64,1,Node67,6.045774991747521e-11,,0,,1,ok
BDNF-64,1,Node7,1.0,,0,,0,ok
BDNF-64,1,Node72,1.0,,0,,0,ok
BDNF-64,1,Node73,1.0,,0,,0,ok
BDNF-64,1,Node78,1.0,,0,,0,ok
BDNF-64,1,Node79,1.0,,0,,0,ok
BDNF-64,1,Node8,1.0,,0,,0,ok
BDNF-64,1,Node80,1.0,,0,,0,ok
BDNF-64,1,Node81,0.0,,0,,1,ok
BDNF-64,1,Node82,1.0,,0,,0,ok
BDNF-64,1,Node85,0.0,,0,,1,ok
BDNF-64,1,Node86,1.0,,0,,0,ok
BDNF-64,1,Node87,1.0,,0,,0,ok
BDNF-64,1,Node91,1.0,,0,,0,ok
BDNF-64,1,Node97,1.0,,0,,0,ok
BDNF-64,1,Node99,1.0,,0,,0,ok
BDNF-64,1,XM_004408653_1_PREDICTED_Odobenus_rosmarus_divergens_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_004585440_1_PREDICTED_Ochotona_princeps_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_004644113_2_PREDICTED_Octodon_degus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_004660846_2_PREDICTED_Jaculus_jaculus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_004851581_3_PREDICTED_Heterocephalus_glaber_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_005216334_4_PREDICTED_Bos_taurus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_005401751_2_PREDICTED_Chinchilla_lanigera_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_005654684_3_PREDICTED_Sus_scrofa_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_005890667_2_PREDICTED_Bos_mutus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_006068006_2_PREDICTED_Bubalus_bubalis_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_007497196_2_PREDICTED_Monodelphis_domestica_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,0.0313152675452309,,0,,1,ok
BDNF-64,1,XM_007653166_4_PREDICTED_Cricetulus_griseus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_008686880_2_PREDICTED_Ursus_maritimus_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_009007854_3_PREDICTED_Callithrix_jacchus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_010831788_1_PREDICTED_Bison_bison_bison_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_011226480_3_PREDICTED_Ailuropoda_melanoleuca_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_012096129_4_PREDICTED_Ovis_aries_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_013019592_1_PREDICTED_Dipodomys_ordii_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,0.07829273318286117,,0,,1,ok
