
Analysis Description
--------------------
GARD : Genetic Algorithms for Recombination Detection. Implements a
heuristic approach to screening alignments of sequences for
recombination, by using the CHC genetic algorithm to search for
phylogenetic incongruence among different partitions of the data. The
number of partitions is determined using a step-up procedure, while the
placement of breakpoints is searched for with the GA. The best fitting
model (based on c-AIC) is returned; and additional post-hoc tests run to
distinguish topological incongruence from rate-variation. v0.2 adds and
spooling results to JSON after each breakpoint search conclusion

- __Requirements__: A sequence alignment.

- __Citation__: **Automated Phylogenetic Detection of Recombination Using a Genetic
Algorithm**, _Mol Biol Evol 23(10), 1891–1901

- __Written by__: Sergei L Kosakovsky Pond

- __Contact Information__: spond@temple.edu

- __Analysis Version__: 0.2

type: nucleotide
rv: GDD
>Maximum number of breakpoints to consider (permissible range = [1,100000], default value = 10000, integer): max-breakpoints: 10000
>How many site rate classes to use (permissible range = [2,10], default value = 4, integer): rate-classes: 4
mode: Faster
>Loaded a nucleotide multiple sequence alignment with **16** sequences, **1221** sites (470 of which are variable) from `/Users/alex/Documents/AOC/results/BDNF-64/BDNF-64.RD.SA.codons.cln.fa.cluster.fasta`
>Minimum size of a partition is set to be 29 sites


### Fitting the baseline (single-partition; no breakpoints) model
* Log(L) = -6664.09, AIC-c = 13419.55 (44 estimated parameters)

### Performing an exhaustive single breakpoint analysis
[2K
[GARD] Breakpoint          1 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          2 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          3 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          4 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          5 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          6 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          7 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          8 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          9 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         10 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         11 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         12 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         13 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         14 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         15 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         16 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         17 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         18 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         19 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         20 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         21 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         22 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         23 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         24 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         25 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         26 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         27 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         28 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         29 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         30 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         31 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         32 of 469. Best cAIC =   13415.6999 [delta =       3.8475] with breakpoint at site         32[2K
[GARD] Breakpoint         33 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         34 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         35 of 469. Best cAIC =   13406.8845 [delta =      12.6628] with breakpoint at site         34[2K
[GARD] Breakpoint         36 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         37 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         38 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         39 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         40 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         41 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         42 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         43 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         44 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         45 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         46 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         47 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         48 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         49 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         50 of 469. Best cAIC =   13318.6347 [delta =     100.9127] with breakpoint at site        153[2K
[GARD] Breakpoint         51 of 469. Best cAIC =   13317.5932 [delta =     101.9542] with breakpoint at site        154[2K
[GARD] Breakpoint         52 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         53 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         54 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         55 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         56 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         57 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         58 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         59 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         60 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         61 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         62 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         63 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         64 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         65 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         66 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         67 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         68 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         69 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         70 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         71 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         72 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         73 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         74 of 469. Best cAIC =   13239.5956 [delta =     179.9517] with breakpoint at site        180[2K
[GARD] Breakpoint         75 of 469. Best cAIC =   13239.5956 [delta =     179.9517] with breakpoint at site        180[2K
[GARD] Breakpoint         76 of 469. Best cAIC =   13239.5956 [delta =     179.9517] with breakpoint at site        180[2K
[GARD] Breakpoint         77 of 469. Best cAIC =   13230.6290 [delta =     188.9183] with breakpoint at site        183[2K
[GARD] Breakpoint         78 of 469. Best cAIC =   13230.6290 [delta =     188.9183] with breakpoint at site        183[2K
[GARD] Breakpoint         79 of 469. Best cAIC =   13230.6290 [delta =     188.9183] with breakpoint at site        183[2K
[GARD] Breakpoint         80 of 469. Best cAIC =   13230.6290 [delta =     188.9183] with breakpoint at site        183[2K
[GARD] Breakpoint         81 of 469. Best cAIC =   13230.6290 [delta =     188.9183] with breakpoint at site        183[2K
[GARD] Breakpoint         82 of 469. Best cAIC =   13226.8953 [delta =     192.6520] with breakpoint at site        186[2K
[GARD] Breakpoint         83 of 469. Best cAIC =   13226.8953 [delta =     192.6520] with breakpoint at site        186[2K
[GARD] Breakpoint         84 of 469. Best cAIC =   13226.8953 [delta =     192.6520] with breakpoint at site        186[2K
[GARD] Breakpoint         85 of 469. Best cAIC =   13226.8953 [delta =     192.6520] with breakpoint at site        186[2K
[GARD] Breakpoint         86 of 469. Best cAIC =   13226.8953 [delta =     192.6520] with breakpoint at site        186[2K
[GARD] Breakpoint         87 of 469. Best cAIC =   13226.8953 [delta =     192.6520] with breakpoint at site        186[2K
[GARD] Breakpoint         88 of 469. Best cAIC =   13226.8953 [delta =     192.6520] with breakpoint at site        186[2K
[GARD] Breakpoint         89 of 469. Best cAIC =   13201.8677 [delta =     217.6796] with breakpoint at site        192[2K
[GARD] Breakpoint         90 of 469. Best cAIC =   13201.8677 [delta =     217.6796] with breakpoint at site        192[2K
[GARD] Breakpoint         91 of 469. Best cAIC =   13200.0950 [delta =     219.4524] with breakpoint at site        195[2K
[GARD] Breakpoint         92 of 469. Best cAIC =   13193.8601 [delta =     225.6873] with breakpoint at site        197[2K
[GARD] Breakpoint         93 of 469. Best cAIC =   13193.8601 [delta =     225.6873] with breakpoint at site        197[2K
[GARD] Breakpoint         94 of 469. Best cAIC =   13187.0756 [delta =     232.4718] with breakpoint at site        247[2K
[GARD] Breakpoint         95 of 469. Best cAIC =   13187.0756 [delta =     232.4718] with breakpoint at site        247[2K
[GARD] Breakpoint         96 of 469. Best cAIC =   13187.0756 [delta =     232.4718] with breakpoint at site        247[2K
[GARD] Breakpoint         97 of 469. Best cAIC =   13187.0756 [delta =     232.4718] with breakpoint at site        247[2K
[GARD] Breakpoint         98 of 469. Best cAIC =   13186.1588 [delta =     233.3886] with breakpoint at site        251[2K
[GARD] Breakpoint         99 of 469. Best cAIC =   13177.9260 [delta =     241.6214] with breakpoint at site        250[2K
[GARD] Breakpoint        100 of 469. Best cAIC =   13169.1005 [delta =     250.4469] with breakpoint at site        253[2K
[GARD] Breakpoint        101 of 469. Best cAIC =   13169.1005 [delta =     250.4469] with breakpoint at site        253[2K
[GARD] Breakpoint        102 of 469. Best cAIC =   13163.9905 [delta =     255.5569] with breakpoint at site        255[2K
[GARD] Breakpoint        103 of 469. Best cAIC =   13163.9905 [delta =     255.5569] with breakpoint at site        255[2K
[GARD] Breakpoint        104 of 469. Best cAIC =   13163.9905 [delta =     255.5569] with breakpoint at site        255[2K
[GARD] Breakpoint        105 of 469. Best cAIC =   13163.9905 [delta =     255.5569] with breakpoint at site        255[2K
[GARD] Breakpoint        106 of 469. Best cAIC =   13163.9905 [delta =     255.5569] with breakpoint at site        255[2K
[GARD] Breakpoint        107 of 469. Best cAIC =   13163.9905 [delta =     255.5569] with breakpoint at site        255[2K
[GARD] Breakpoint        108 of 469. Best cAIC =   13163.9905 [delta =     255.5569] with breakpoint at site        255[2K
[GARD] Breakpoint        109 of 469. Best cAIC =   13160.3701 [delta =     259.1772] with breakpoint at site        261[2K
[GARD] Breakpoint        110 of 469. Best cAIC =   13148.4624 [delta =     271.0850] with breakpoint at site        262[2K
[GARD] Breakpoint        111 of 469. Best cAIC =   13142.2653 [delta =     277.2820] with breakpoint at site        264[2K
[GARD] Breakpoint        112 of 469. Best cAIC =   13142.2653 [delta =     277.2820] with breakpoint at site        264[2K
[GARD] Breakpoint        113 of 469. Best cAIC =   13122.2594 [delta =     297.2879] with breakpoint at site        265[2K
[GARD] Breakpoint        114 of 469. Best cAIC =   13118.5693 [delta =     300.9781] with breakpoint at site        266[2K
[GARD] Breakpoint        115 of 469. Best cAIC =   13109.9558 [delta =     309.5915] with breakpoint at site        267[2K
[GARD] Breakpoint        116 of 469. Best cAIC =   13100.0501 [delta =     319.4972] with breakpoint at site        269[2K
[GARD] Breakpoint        117 of 469. Best cAIC =   13100.0501 [delta =     319.4972] with breakpoint at site        269[2K
[GARD] Breakpoint        118 of 469. Best cAIC =   13093.7277 [delta =     325.8197] with breakpoint at site        270[2K
[GARD] Breakpoint        119 of 469. Best cAIC =   13091.8634 [delta =     327.6839] with breakpoint at site        271[2K
[GARD] Breakpoint        120 of 469. Best cAIC =   13091.8634 [delta =     327.6839] with breakpoint at site        271[2K
[GARD] Breakpoint        121 of 469. Best cAIC =   13091.8634 [delta =     327.6839] with breakpoint at site        271[2K
[GARD] Breakpoint        122 of 469. Best cAIC =   13084.3808 [delta =     335.1666] with breakpoint at site        275[2K
[GARD] Breakpoint        123 of 469. Best cAIC =   13084.3808 [delta =     335.1666] with breakpoint at site        275[2K
[GARD] Breakpoint        124 of 469. Best cAIC =   13077.6741 [delta =     341.8733] with breakpoint at site        276[2K
[GARD] Breakpoint        125 of 469. Best cAIC =   13074.5520 [delta =     344.9953] with breakpoint at site        277[2K
[GARD] Breakpoint        126 of 469. Best cAIC =   13074.5520 [delta =     344.9953] with breakpoint at site        277[2K
[GARD] Breakpoint        127 of 469. Best cAIC =   13074.5520 [delta =     344.9953] with breakpoint at site        277[2K
[GARD] Breakpoint        128 of 469. Best cAIC =   13074.5520 [delta =     344.9953] with breakpoint at site        277[2K
[GARD] Breakpoint        129 of 469. Best cAIC =   13074.5520 [delta =     344.9953] with breakpoint at site        277[2K
[GARD] Breakpoint        130 of 469. Best cAIC =   13074.5520 [delta =     344.9953] with breakpoint at site        277[2K
[GARD] Breakpoint        131 of 469. Best cAIC =   13070.0733 [delta =     349.4740] with breakpoint at site        283[2K
[GARD] Breakpoint        132 of 469. Best cAIC =   13070.0733 [delta =     349.4740] with breakpoint at site        283[2K
[GARD] Breakpoint        133 of 469. Best cAIC =   13070.0733 [delta =     349.4740] with breakpoint at site        283[2K
[GARD] Breakpoint        134 of 469. Best cAIC =   13070.0733 [delta =     349.4740] with breakpoint at site        283[2K
[GARD] Breakpoint        135 of 469. Best cAIC =   13070.0733 [delta =     349.4740] with breakpoint at site        283[2K
[GARD] Breakpoint        136 of 469. Best cAIC =   13070.0733 [delta =     349.4740] with breakpoint at site        283[2K
[GARD] Breakpoint        137 of 469. Best cAIC =   13070.0733 [delta =     349.4740] with breakpoint at site        283[2K
[GARD] Breakpoint        138 of 469. Best cAIC =   13066.8741 [delta =     352.6733] with breakpoint at site        291[2K
[GARD] Breakpoint        139 of 469. Best cAIC =   13066.8741 [delta =     352.6733] with breakpoint at site        291[2K
[GARD] Breakpoint        140 of 469. Best cAIC =   13063.0464 [delta =     356.5010] with breakpoint at site        292[2K
[GARD] Breakpoint        141 of 469. Best cAIC =   13051.6721 [delta =     367.8752] with breakpoint at site        294[2K
[GARD] Breakpoint        142 of 469. Best cAIC =   13044.8407 [delta =     374.7066] with breakpoint at site        295[2K
[GARD] Breakpoint        143 of 469. Best cAIC =   13039.2495 [delta =     380.2979] with breakpoint at site        296[2K
