id30	organism	protein_id	transcript_id	cds_start	cds_end	protein_desc	transcript_desc
XP_062041590.1|XM_06218_d11611	Lepus europaeus	XP_062041590.1	XM_062185606.1:133-1581	0	1446	XP_062041590.1 ADAP1 [organism=Lepus europaeus] [GeneID=133755494] [isoform=X1]	XM_062185606.1:133-1581 ADAP1 [organism=Lepus europaeus] [GeneID=133755494] [transcript=X1] [region=cds]
XP_025939132.1|XM_02608_6aec63	Apteryx rowi	XP_025939132.1	XM_026083347.1:935-1888	0	951	XP_025939132.1 ADAP1 [organism=Apteryx rowi] [GeneID=112974419] [isoform=X1]	XM_026083347.1:935-1888 ADAP1 [organism=Apteryx rowi] [GeneID=112974419] [transcript=X1] [region=cds]
XP_032626897.1|XM_03277_f6b30e	Chelonoidis abingdonii	XP_032626897.1	XM_032771006.2:323-1450	0	1125	XP_032626897.1 ADAP1 [organism=Chelonoidis abingdonii] [GeneID=116819341]	XM_032771006.2:323-1450 ADAP1 [organism=Chelonoidis abingdonii] [GeneID=116819341] [region=cds]
XP_054352982.1|XM_05449_233884	Pongo pygmaeus	XP_054352982.1	XM_054497007.2:249-1373	0	1122	XP_054352982.1 ADAP1 [organism=Pongo pygmaeus] [GeneID=129041436] [isoform=X1]	XM_054497007.2:249-1373 ADAP1 [organism=Pongo pygmaeus] [GeneID=129041436] [transcript=X1] [region=cds]
XP_054499394.1|XM_05464_33d08b	Agelaius phoeniceus	XP_054499394.1	XM_054643419.2:208-1335	0	1125	XP_054499394.1 ADAP1 [organism=Agelaius phoeniceus] [GeneID=129127062]	XM_054643419.2:208-1335 ADAP1 [organism=Agelaius phoeniceus] [GeneID=129127062] [region=cds]
NP_001090758.1|NM_00109_c9f23c	Xenopus tropicalis	NP_001090758.1	NM_001097289.1:215-1342	0	1125	NP_001090758.1 adap1 [organism=Xenopus tropicalis] [GeneID=100037843]	NM_001097289.1:215-1342 adap1 [organism=Xenopus tropicalis] [GeneID=100037843] [region=cds]
XP_012614566.2|XM_01275_945ab4	Microcebus murinus	XP_012614566.2	XM_012759112.3:164-1237	0	1071	XP_012614566.2 ADAP1 [organism=Microcebus murinus] [GeneID=105868358] [isoform=X1]	XM_012759112.3:164-1237 ADAP1 [organism=Microcebus murinus] [GeneID=105868358] [transcript=X1] [region=cds]
XP_041604521.1|XM_04174_7e8d4b	Vulpes lagopus	XP_041604521.1	XM_041748587.1:186-1310	0	1122	XP_041604521.1 ADAP1 [organism=Vulpes lagopus] [GeneID=121487178] [isoform=X1]	XM_041748587.1:186-1310 ADAP1 [organism=Vulpes lagopus] [GeneID=121487178] [transcript=X1] [region=cds]
XP_069726565.1|XM_06987_381d08	Phaenicophaeus curvirostris	XP_069726565.1	XM_069870464.1:129-1256	0	1125	XP_069726565.1 ADAP1 [organism=Phaenicophaeus curvirostris] [GeneID=138727727]	XM_069870464.1:129-1256 ADAP1 [organism=Phaenicophaeus curvirostris] [GeneID=138727727] [region=cds]
XP_011885129.1|XM_01202_53ecb0	Cercocebus atys	XP_011885129.1	XM_012029739.1:214-1338	0	1122	XP_011885129.1 ADAP1 [organism=Cercocebus atys] [GeneID=105571775]	XM_012029739.1:214-1338 ADAP1 [organism=Cercocebus atys] [GeneID=105571775] [region=cds]
