id30	organism	protein_id	transcript_id	cds_start	cds_end	protein_desc	transcript_desc
XP_059951303.1|XM_06009_fb4163	Mesoplodon densirostris	XP_059951303.1	XM_060095320.1:4-2925	0	2919	XP_059951303.1 ANPEP [organism=Mesoplodon densirostris] [GeneID=132487593]	XM_060095320.1:4-2925 ANPEP [organism=Mesoplodon densirostris] [GeneID=132487593] [region=cds]
XP_034640800.1|XM_03478_9f48c1	Trachemys scripta elegans	XP_034640800.1	XM_034784909.1:375-2729	0	2352	XP_034640800.1 ANPEP [organism=Trachemys scripta elegans] [GeneID=117884487]	XM_034784909.1:375-2729 ANPEP [organism=Trachemys scripta elegans] [GeneID=117884487] [region=cds]
XP_005424368.1|XM_00542_3af469	Geospiza fortis	XP_005424368.1	XM_005424311.2:408-3311	0	2901	XP_005424368.1 ANPEP [organism=Geospiza fortis] [GeneID=102036761]	XM_005424311.2:408-3311 ANPEP [organism=Geospiza fortis] [GeneID=102036761] [region=cds]
XP_029095245.1|XM_02923_70770a	Monodon monoceros	XP_029095245.1	XM_029239412.1:977-3886	0	2907	XP_029095245.1 ANPEP [organism=Monodon monoceros] [GeneID=114904970]	XM_029239412.1:977-3886 ANPEP [organism=Monodon monoceros] [GeneID=114904970] [region=cds]
XP_015494977.1|XM_01563_410734	Parus major	XP_015494977.1	XM_015639491.3:425-3412	0	2985	XP_015494977.1 ANPEP [organism=Parus major] [GeneID=107209592]	XM_015639491.3:425-3412 ANPEP [organism=Parus major] [GeneID=107209592] [transcript=X1] [region=cds]
XP_076401733.1|XM_07654_b43b87	Peromyscus maniculatus bairdii	XP_076401733.1	XM_076545618.1:456-3467	0	3009	XP_076401733.1 Anpep [organism=Peromyscus maniculatus bairdii] [GeneID=102917991] [isoform=X1]	XM_076545618.1:456-3467 Anpep [organism=Peromyscus maniculatus bairdii] [GeneID=102917991] [transcript=X1] [region=cds]
XP_039579472.1|XM_03972_38d1a3	Passer montanus	XP_039579472.1	XM_039723538.1:103-3747	0	3642	XP_039579472.1 ANPEP [organism=Passer montanus] [GeneID=120509173] [isoform=X1]	XM_039723538.1:103-3747 ANPEP [organism=Passer montanus] [GeneID=120509173] [transcript=X1] [region=cds]
XP_039217944.1|XM_03936_b3fe5e	Crotalus tigris	XP_039217944.1	XM_039362010.1:359-3301	0	2940	XP_039217944.1 ANPEP [organism=Crotalus tigris] [GeneID=120316420]	XM_039362010.1:359-3301 ANPEP [organism=Crotalus tigris] [GeneID=120316420] [transcript=X1] [region=cds]
XP_064312014.1|XM_06445_ed26d7	Phalacrocorax carbo	XP_064312014.1	XM_064455944.1:645-3605	0	2958	XP_064312014.1 ANPEP [organism=Phalacrocorax carbo] [GeneID=135314236]	XM_064455944.1:645-3605 ANPEP [organism=Phalacrocorax carbo] [GeneID=135314236] [transcript=X1] [region=cds]
XP_033708027.1|XM_03385_495709	Tursiops truncatus	XP_033708027.1	XM_033852136.2:3296-6232	0	2934	XP_033708027.1 ANPEP [organism=Tursiops truncatus] [GeneID=101323895]	XM_033852136.2:3296-6232 ANPEP [organism=Tursiops truncatus] [GeneID=101323895] [transcript=X2] [region=cds]
XP_026712274.1|XM_02685_fce65b	Athene cunicularia	XP_026712274.1	XM_026856473.1:415-3357	0	2940	XP_026712274.1 ANPEP [organism=Athene cunicularia] [GeneID=113484216]	XM_026856473.1:415-3357 ANPEP [organism=Athene cunicularia] [GeneID=113484216] [region=cds]
XP_032926292.1|XM_03307_49a3c1	Catharus ustulatus	XP_032926292.1	XM_033070401.1:546-4070	0	3522	XP_032926292.1 ANPEP [organism=Catharus ustulatus] [GeneID=117001809]	XM_033070401.1:546-4070 ANPEP [organism=Catharus ustulatus] [GeneID=117001809] [region=cds]
NP_001075795.1|NM_00108_f9e4e8	Oryctolagus cuniculus	NP_001075795.1	NM_001082326.1:13-2913	0	2898	NP_001075795.1 ANPEP [organism=Oryctolagus cuniculus] [GeneID=100009167]	NM_001082326.1:13-2913 ANPEP [organism=Oryctolagus cuniculus] [GeneID=100009167] [region=cds]
XP_053934149.1|XM_05407_fb0556	Cuculus canorus	XP_053934149.1	XM_054078174.1:617-3544	0	2925	XP_053934149.1 ANPEP [organism=Cuculus canorus] [GeneID=104056417]	XM_054078174.1:617-3544 ANPEP [organism=Cuculus canorus] [GeneID=104056417] [region=cds]
XP_053128379.1|XM_05327_2a747f	Hemicordylus capensis	XP_053128379.1	XM_053272404.1:615-3638	0	3021	XP_053128379.1 ANPEP [organism=Hemicordylus capensis] [GeneID=128334885]	XM_053272404.1:615-3638 ANPEP [organism=Hemicordylus capensis] [GeneID=128334885] [transcript=X1] [region=cds]
XP_026945036.1|XM_02708_a13646	Sagmatias obliquidens	XP_026945036.1	XM_027089235.1:1756-4692	0	2934	XP_026945036.1 ANPE [organism=Sagmatias obliquidens] [GeneID=113610820]	XM_027089235.1:1756-4692 ANPE [organism=Sagmatias obliquidens] [GeneID=113610820] [region=cds]
XP_003788672.1|XM_00378_b26296	Otolemur garnettii	XP_003788672.1	XM_003788624.3:34-2922	0	2886	XP_003788672.1 ANPEP [organism=Otolemur garnettii] [GeneID=100964355]	XM_003788624.3:34-2922 ANPEP [organism=Otolemur garnettii] [GeneID=100964355] [region=cds]
XP_008851029.1|XM_00885_9377ce	Nannospalax galili	XP_008851029.1	XM_008852807.3:475-3381	0	2904	XP_008851029.1 Anpep [organism=Nannospalax galili] [GeneID=103749902]	XM_008852807.3:475-3381 Anpep [organism=Nannospalax galili] [GeneID=103749902] [region=cds]
XP_026540484.1|XM_02668_85ccb6	Notechis scutatus	XP_026540484.1	XM_026684699.1:342-3353	0	3009	XP_026540484.1 ANPEP [organism=Notechis scutatus] [GeneID=113423349] [isoform=X1]	XM_026684699.1:342-3353 ANPEP [organism=Notechis scutatus] [GeneID=113423349] [transcript=X1] [region=cds]
XP_054692375.1|XM_05483_dabc2b	Grus americana	XP_054692375.1	XM_054836400.1:172-3054	0	2880	XP_054692375.1 ANPEP [organism=Grus americana] [GeneID=129210564]	XM_054836400.1:172-3054 ANPEP [organism=Grus americana] [GeneID=129210564] [transcript=X1] [region=cds]
XP_032692708.1|XM_03283_e49a4d	Lontra canadensis	XP_032692708.1	XM_032836817.1:226-3252	0	3024	XP_032692708.1 ANPEP [organism=Lontra canadensis] [GeneID=116854704]	XM_032836817.1:226-3252 ANPEP [organism=Lontra canadensis] [GeneID=116854704] [region=cds]
